"과세유형별(1)","지역및업태별(1)",지역및업태별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"과세유형별(1)","지역및업태별(1)",지역및업태별(2),총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상
"일반사업자","지역별",서울,1015213,49507,49961,92549,94436,145605,234345,208747,105648,34415,1002203,53088,58644,109379,89699,137559,217671,212785,96470,26908,970905,63986,63826,101884,82683,134148,199882,218689,84809,20998,949811,63666,55122,99982,83639,134502,192580,221925,79846,18549,916420,58592,54962,99133,84668,128257,181164,218229,76338,15077
"일반사업자","지역별",인천,329118,18408,18173,36740,44652,54813,78503,51639,22435,3755,319163,19705,23883,50077,35201,50433,66627,50037,20588,2612,300406,31362,25235,39497,29340,48132,56753,50195,17870,2022,276925,24254,21079,35190,31818,44083,52690,49887,16231,1693,259013,20909,18952,38020,30559,38838,47822,48365,14120,1428
"일반사업자","지역별",경기,1567297,86300,87817,176748,193062,249460,381479,269708,107754,14969,1511087,95755,112506,215595,153763,232775,333722,262210,94818,9943,1413191,129331,116008,172112,135769,224424,290313,259201,78752,7281,1316263,108541,88441,162795,142187,215915,265094,257158,70146,5986,1227841,91324,88593,166537,136706,194328,238331,245923,61486,4613
"일반사업자","지역별",강원,149190,7709,8532,16717,15089,23688,37289,25340,12597,2229,140994,8924,9378,16655,14167,21629,32705,24385,11431,1720,130969,9669,8493,15615,12558,20834,28333,23811,10207,1449,127929,9114,8140,15200,13076,21390,25564,24298,9815,1332,118760,7865,7795,15127,12602,19165,22769,23558,8710,1169
"일반사업자","지역별",대전,123711,6834,7076,12703,12453,18586,29708,23625,10788,1938,119202,7153,7646,14108,11334,17356,27569,22781,9922,1333,113694,8436,7651,12832,10355,16697,25785,22172,8720,1046,112128,7973,6709,12797,10670,17019,25524,22342,8239,855,107198,7065,6792,12699,10647,16422,23722,21778,7335,738
"일반사업자","지역별",충북,146353,8265,8412,16242,14979,22572,35224,26495,11917,2247,139255,9046,9367,16836,12987,21738,31576,25101,10888,1716,129802,9620,9079,14370,13034,19729,28764,24133,9695,1378,126582,8429,7725,15893,12769,19491,27660,24273,9091,1251,119412,8282,8568,14753,11764,18502,24971,23458,8022,1092
"일반사업자","지역별",충남,208611,12080,12233,26237,23127,32323,49917,35130,14828,2736,197877,13078,16693,25953,18816,30646,43897,33419,13303,2072,180578,16035,12921,20740,18073,28903,38243,32308,11715,1640,173971,12366,11337,22161,18530,28130,36404,32613,10966,1464,163554,12234,11517,21666,17909,25442,32561,31209,9733,1283
"일반사업자","지역별",세종,37207,1590,1688,3129,3549,5613,16897,3630,965,146,36167,1734,1807,4016,3202,6167,15636,2620,871,114,34371,2004,2347,3517,3219,7643,12768,2013,769,91,32831,1973,1958,3815,3849,8750,9782,1921,711,72,30539,2043,1862,4278,5008,8905,5987,1760,627,69
"일반사업자","지역별",광주,121190,6628,6865,12671,12903,19717,29384,22028,9280,1714,117826,7301,7772,14795,11977,18901,26712,20678,8471,1219,112733,8681,8505,13794,11577,17497,24405,19738,7594,942,110038,8697,7427,14337,11615,16757,23736,19647,7075,747,104108,8220,7582,13832,10875,15727,22041,19040,6154,637
"일반사업자","지역별",전북,174418,10206,10803,18221,15982,29025,46453,28637,12694,2397,164841,10222,10134,17983,16959,29991,39501,26518,11732,1801,155478,10181,9616,18923,16450,30267,32572,25519,10695,1255,152466,10923,10277,19642,18988,24813,31617,25070,10039,1097,143546,10397,10755,22281,18131,19123,28966,24109,8806,978
"일반사업자","지역별",전남,164612,9801,9393,16250,15279,27968,43817,26900,12998,2206,156155,9436,9054,17076,16572,27470,37678,25247,11940,1682,148571,9476,9649,18467,15560,26583,32194,24724,10589,1329,145669,10462,10095,18647,17104,23462,30109,24663,9960,1167,136419,10196,10046,20341,15578,20282,26584,23684,8652,1056
"일반사업자","지역별",대구,213291,10403,10261,19179,19738,29859,53555,42685,20934,6677,205902,10309,11430,22034,17551,28843,50027,40662,19316,5730,198271,12211,12400,19537,17155,28217,46141,39619,17865,5126,195414,11823,10057,20746,17528,29781,44075,39779,17056,4569,188301,11173,11097,20155,17777,29673,39921,38894,15655,3956
"일반사업자","지역별",경북,225333,12754,13083,22734,20887,33048,55479,42635,20629,4084,215451,13094,12732,23651,19168,32983,50459,40881,19211,3272,202182,13291,12790,21189,19130,31581,44914,39466,17225,2596,200485,12809,11049,23294,20006,31697,43204,39781,16287,2358,189770,12095,12272,22915,19434,29097,39223,38304,14435,1995
"일반사업자","지역별",부산,307138,15182,15558,29127,30188,44192,75372,58918,29367,9234,301179,16250,17960,34554,27087,41887,71093,56902,28762,6684,289924,19558,19981,30823,25423,41734,65199,54877,26902,5427,283970,19321,16544,31026,25641,44202,61842,54642,25932,4820,272264,17974,16840,30426,27738,41953,55742,53318,23928,4345
"일반사업자","지역별",울산,84076,4598,4607,8570,7406,12041,21941,16215,7670,1028,81345,5414,4696,8487,7407,11600,20520,15479,6984,758,78060,4923,5044,8574,7050,12078,18452,15060,6294,585,79099,5566,4784,8928,7489,13502,17250,15181,5934,465,76402,5254,4987,9064,8308,12690,15711,14742,5296,350
"일반사업자","지역별",경남,276620,14518,14972,26532,24407,38388,72788,54828,26036,4151,266756,15409,15342,27851,22901,38202,67566,52903,23540,3042,255533,15904,15719,25874,22543,38992,61753,51199,21058,2491,255282,15658,14306,27825,24094,42103,58242,51074,19843,2137,246757,15461,15311,28470,25585,41585,51456,49374,17711,1804
"일반사업자","지역별",제주,76182,3564,3772,6993,6785,11403,27362,11081,4331,891,73920,3914,3995,7589,6681,12587,24936,9571,3915,732,69959,4183,4201,7250,6481,13807,21084,8913,3491,549,69220,4219,4071,7767,8210,14699,17666,8818,3341,429,65749,4228,4239,9221,8484,14357,13430,8484,2969,337
"일반사업자","업태별",소계,5219560,278347,283206,541342,554922,798301,1289513,948241,430871,94817,5049323,299832,333039,626639,485472,760767,1157895,922179,392162,71338,4784627,368851,343465,544998,446400,741266,1027555,911637,344250,56205,4608083,335794,289121,540045,467213,730296,963039,913072,320512,48991,4366053,303312,292170,548918,461773,674346,870401,884229,289977,40927
"일반사업자","업태별",농·임·어업,4177,389,431,677,517,756,895,403,102,7,3555,417,386,542,425,659,672,356,92,6,2946,334,316,465,377,521,520,332,76,5,2603,286,255,463,361,420,435,321,55,7,2174,250,234,387,274,357,330,299,38,5
"일반사업자","업태별",광업,293,19,12,31,17,32,44,61,45,32,275,13,20,18,16,33,37,66,49,23,266,9,11,19,15,29,43,73,46,21,261,10,11,17,19,15,57,70,43,19,264,6,10,22,13,17,64,70,46,16
"일반사업자","업태별",제조업,392712,11591,12262,23904,25076,43910,90769,100898,66568,17734,391875,12863,14166,28005,24452,46414,87777,99231,66695,12272,385468,15458,15831,26894,25656,46683,83760,98329,63689,9168,378553,15197,15353,28971,27071,46053,81441,96643,60353,7471,371661,15830,16694,30424,26639,45874,78239,96816,54960,6185
"일반사업자","업태별",전기·가스·수도업,158450,14617,14815,21168,20125,39526,44066,4045,73,15,134515,11989,10188,21144,21483,39330,28294,2022,56,9,117960,12238,10252,22514,20634,35197,15776,1294,48,7,101604,13289,10570,22077,23027,18860,12741,992,42,6,86899,11514,13130,26910,17258,7856,9342,847,37,5
"일반사업자","업태별",도매업,429438,16871,17793,32958,32394,54874,100171,111925,51574,10878,430247,18652,20387,37545,32742,55478,98041,110118,49689,7595,419750,21446,21611,37051,32198,54631,93505,107723,45962,5623,408331,22240,21444,37133,32271,53575,90373,104752,41878,4665,398465,21969,21838,37561,32304,52189,89583,101659,37406,3956
"일반사업자","업태별",소매업,599475,51484,54660,80791,66373,95027,111860,86434,40331,12515,562752,56224,55909,76107,60309,78750,102549,83821,38946,10137,502533,51886,46725,66556,48980,67070,94896,80844,36959,8617,479295,45080,36653,60313,45145,67761,94900,84104,37004,8335,440693,34214,32583,52766,42500,64584,89286,83063,34069,7628
"일반사업자","업태별",부동산매매업,23730,2933,1942,3616,3030,4643,4661,2434,449,22,21068,1773,2336,3441,2621,4243,3960,2340,341,13,19220,2189,1848,3066,3136,3071,3408,2289,203,10,17821,1663,2159,3863,2089,2792,3050,2049,147,9,16598,2686,2197,2592,1853,2574,2694,1860,133,9
"일반사업자","업태별",건설업,439029,23240,24629,43746,41103,64772,103729,83305,48114,6391,427366,25243,27864,46652,38021,64078,94747,80898,45902,3961,402684,26204,28075,42573,36925,60666,84886,78603,42153,2599,389141,26409,25569,44615,38403,58760,77974,76644,39045,1722,368260,25595,26209,44378,36050,53643,71950,74057,35261,1117
"일반사업자","업태별",음식업,532452,37064,36173,73208,59610,96255,130370,76850,20421,2501,503767,37579,29839,72339,62367,95739,118058,69019,16975,1852,487233,33045,32730,73667,66054,89979,109847,65556,14880,1475,530678,37654,33776,90714,68566,96965,114322,71521,15601,1559,505576,42113,37333,84318,65028,91724,104726,65803,13240,1291
"일반사업자","업태별",숙박업,31719,2331,2286,3928,4316,4953,7725,4321,1631,228,27666,2247,2170,4172,2738,4127,6779,3920,1335,178,25351,2408,2279,2928,2524,4052,6062,3944,983,171,25824,1907,1699,3324,2645,4794,5963,4332,979,181,24729,1982,1829,3104,2911,4474,5201,4198,868,162
"일반사업자","업태별",운수·창고·통신업,395257,20766,20282,36288,32629,53591,97717,92685,37727,3572,382948,20377,23673,36893,30522,53048,93924,88442,33466,2603,371912,22882,22390,35235,31298,52213,90580,86714,28754,1846,383256,22306,20917,39643,34223,56694,94119,88114,25663,1577,367768,21756,22656,38229,33456,55930,88563,85638,20405,1135
"일반사업자","업태별",부동산임대업,1269993,26466,26845,96777,155377,174017,380771,254769,119482,35489,1269818,38286,68022,168528,106494,166840,333339,260661,98764,28884,1227195,101448,83423,116328,84394,191360,278356,272910,75227,23749,1132402,75536,54569,96277,105179,200423,234724,277232,67493,20969,1078944,55538,51360,121666,121642,185201,190550,270373,65261,17353
"일반사업자","업태별",대리·중개·도급업,73325,5951,5951,8687,8243,14454,19508,9054,1191,286,72234,5783,5402,10184,9139,14544,17779,8071,1100,232,70493,6169,6213,11019,9318,13746,15828,6984,1035,181,66956,6896,6576,11290,8758,12501,13918,5994,871,152,64963,7438,7199,11290,8725,11427,12681,5268,788,147
"일반사업자","업태별",서비스업,869510,64625,65125,115563,106112,151491,197227,121057,43163,5147,821237,68386,72677,121069,94143,137484,171939,113214,38752,3573,751616,73135,71761,106683,84891,122048,150088,106042,34235,2733,691358,67321,59570,101345,79456,110683,139022,100304,31338,2319,639059,62421,58898,95271,73120,98496,127192,94278,27465,1918
"간이사업자","합계",소계,2111809,174967,165608,255377,195859,275228,374725,392770,210275,67000,2083097,182420,158018,256962,192333,262768,365383,405637,200742,58834,1971951,165652,165271,242437,171420,240032,338541,413711,183500,51387,1712585,172692,148075,187288,131508,194522,285793,378763,168228,45716,1632285,149849,133947,169624,127351,184150,284959,376764,164926,40715
"간이사업자","지역별",소계,2111809,174967,165608,255377,195859,275228,374725,392770,210275,67000,2083097,182420,158018,256962,192333,262768,365383,405637,200742,58834,1971951,165652,165271,242437,171420,240032,338541,413711,183500,51387,1712585,172692,148075,187288,131508,194522,285793,378763,168228,45716,1632285,149849,133947,169624,127351,184150,284959,376764,164926,40715
"간이사업자","지역별",서울,378555,31020,29308,46542,37433,49273,59576,67914,41170,16319,372643,32566,28820,48901,35756,44677,57059,71655,38643,14566,352375,30906,31172,45482,29778,39061,52013,74867,36638,12458,308844,33512,27121,33274,22193,31073,45175,70183,34841,11472,288932,26427,22462,28700,20606,28901,45683,70129,36193,9831
"간이사업자","지역별",인천,113646,10963,10180,15943,11374,14700,18424,20369,9624,2069,110680,11493,9657,15036,10564,13919,17827,21685,8710,1789,101799,9836,9416,13538,9431,11993,16587,21987,7425,1586,86456,9987,8133,10443,6383,9432,13865,20160,6624,1429,81614,8741,6974,8590,6236,9163,14423,19817,6364,1306
