"15133SEJ 과세유형별(1)","13301B 시도․업태별(1)","13301B 시도․업태별(2)",TIME 시점,16133T2008_0245 총계,16133T2008_0418 사업부진,16133T2008_0419 행정처분,16133T2008_0420 계절사업,16133T2008_0421 법인전환,16133T2008_0422 면세포기·적용,T001 양도·양수,16133T2008_0425 해산·합병,16133ABA7 기타
"15133SEJ01 법인사업자","B02 지역별","B13 전남",Y2019 2019,1901,723,25,1,-,-,27,45,1080
"15133SEJ01 법인사업자","B02 지역별","B13 전남",Y2020 2020,1905,797,10,3,-,-,28,43,1024
"15133SEJ01 법인사업자","B02 지역별","B13 전남",Y2021 2021,1852,832,30,-,-,-,13,58,919
"15133SEJ01 법인사업자","B02 지역별","B13 전남",Y2022 2022,2008,848,18,0,0,0,23,71,1048
"15133SEJ01 법인사업자","B02 지역별","B13 전남",Y2023 2023,2132,938,6,3,-,-,24,82,1079
"15133SEJ01 법인사업자","B02 지역별","B14 대구",Y2019 2019,2174,833,4,1,-,-,33,50,1253
"15133SEJ01 법인사업자","B02 지역별","B14 대구",Y2020 2020,2076,783,7,1,-,-,37,42,1206
"15133SEJ01 법인사업자","B02 지역별","B14 대구",Y2021 2021,2095,873,5,1,-,-,37,41,1138
"15133SEJ01 법인사업자","B02 지역별","B14 대구",Y2022 2022,2110,922,2,0,0,0,33,57,1096
"15133SEJ01 법인사업자","B02 지역별","B14 대구",Y2023 2023,2401,1190,7,1,-,-,23,38,1142
"15133SEJ01 법인사업자","B02 지역별","B15 경북",Y2019 2019,2601,1105,36,2,-,-,21,97,1340
"15133SEJ01 법인사업자","B02 지역별","B15 경북",Y2020 2020,2462,1005,17,1,-,-,25,47,1367
"15133SEJ01 법인사업자","B02 지역별","B15 경북",Y2021 2021,2478,961,20,1,-,-,30,82,1384
"15133SEJ01 법인사업자","B02 지역별","B15 경북",Y2022 2022,2520,1094,16,0,0,0,29,80,1301
"15133SEJ01 법인사업자","B02 지역별","B15 경북",Y2023 2023,2714,1178,26,3,-,-,39,77,1391
"15133SEJ01 법인사업자","B02 지역별","B16 부산",Y2019 2019,3738,1760,18,1,-,1,62,71,1825
"15133SEJ01 법인사업자","B02 지역별","B16 부산",Y2020 2020,3797,1824,13,1,-,-,54,74,1831
"15133SEJ01 법인사업자","B02 지역별","B16 부산",Y2021 2021,3592,1702,5,-,-,-,82,119,1684
"15133SEJ01 법인사업자","B02 지역별","B16 부산",Y2022 2022,3726,1695,8,2,0,0,58,83,1880
"15133SEJ01 법인사업자","B02 지역별","B16 부산",Y2023 2023,3927,1891,10,1,-,-,63,80,1882
"15133SEJ01 법인사업자","B02 지역별","B17 울산",Y2019 2019,1029,364,5,2,-,-,11,25,622
"15133SEJ01 법인사업자","B02 지역별","B17 울산",Y2020 2020,1009,445,17,-,-,-,7,19,521
