"사업자별(1)","성별(1)","지역별(1)",2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023
"사업자별(1)","성별(1)","지역별(1)",합계,30세 미만,30세 이상,40세 이상,50세 이상,60세 이상,70세 이상,합계,30세 미만,30세 이상,40세 이상,50세 이상,60세 이상,70세 이상,합계,30세 미만,30세 이상,40세 이상,50세 이상,60세 이상,70세 이상,합계,30세 미만,30세 이상,40세 이상,50세 이상,60세 이상,70세 이상,합계,30세 미만,30세 이상,40세 이상,50세 이상,60세 이상,70세 이상
"법인사업자","남자","충남",3807,184,589,1141,1264,514,115,4351,341,742,1205,1301,648,114,4497,340,705,1239,1396,700,117,4053,245,639,1128,1211,678,152,3677,275,565,926,1099,654,158
"법인사업자","남자","세종",749,48,132,231,221,97,20,753,37,126,267,213,90,20,802,56,135,268,218,108,17,730,61,112,233,211,93,20,606,45,107,173,178,86,17
"법인사업자","남자","광주",3157,205,601,1070,849,356,76,3387,282,586,1148,917,375,79,3119,298,599,929,865,357,71,2678,221,502,786,767,330,72,2443,180,476,698,706,310,73
"법인사업자","남자","전북",3092,193,486,914,977,439,83,3525,273,597,1019,1058,457,121,3397,316,552,885,1023,509,112,3054,203,529,808,874,515,125,2807,217,442,758,824,456,110
"법인사업자","남자","전남",3596,177,526,1051,1221,521,100,3544,210,464,1036,1162,568,104,3600,250,493,977,1162,615,103,3284,194,444,879,1069,573,125,3069,207,387,753,1035,572,115
"법인사업자","남자","대구",3508,219,695,1098,1022,378,96,3493,194,661,1150,998,390,100,3573,226,626,1155,1005,470,91,3110,171,606,1019,864,375,75,2872,189,548,869,810,372,84
"법인사업자","남자","경북",4045,240,626,1190,1304,574,111,3942,191,628,1160,1248,588,127,3969,223,658,1143,1189,635,121,3804,245,594,1090,1140,611,124,3566,216,562,983,1058,628,119
"법인사업자","남자","부산",5260,286,1059,1674,1440,647,154,5500,326,1132,1681,1481,708,172,6106,392,1237,1962,1567,800,148,5343,415,1160,1577,1401,642,148,4558,305,911,1404,1200,604,134
"법인사업자","남자","울산",1453,69,218,470,472,186,38,1569,85,266,475,486,214,43,1662,152,268,434,501,258,49,1525,100,244,421,466,263,31,1296,56,200,356,400,247,37
"법인사업자","남자","경남",4242,181,619,1344,1391,601,106,4395,234,671,1282,1385,690,133,4783,326,732,1389,1486,725,125,4421,262,715,1189,1367,753,135,4085,300,555,1107,1224,740,159
"법인사업자","남자","제주",1396,64,254,465,449,138,26,1481,100,235,482,449,182,33,1702,151,267,520,488,217,59,1484,88,224,508,441,192,31,1244,43,204,351,420,184,42
"법인사업자","여자","합계",33892,2199,7289,12040,8684,3053,627,40977,2664,8683,14674,10541,3703,712,43276,2748,9432,15102,11080,4112,802,39782,2508,8655,13784,10181,3909,745,34479,2375,7152,11400,9171,3633,748
"법인사업자","여자","서울",9562,777,2500,3427,1920,750,188,10375,793,2688,3713,2202,789,190,11438,827,3025,4105,2302,927,252,10636,721,2834,3837,2183,839,222,9326,698,2490,3075,2050,787,226
"법인사업자","여자","인천",1474,106,288,548,385,120,27,1841,136,410,629,480,160,26,2090,137,470,708,558,186,31,1924,115,433,663,523,162,28,1768,137,398,592,428,175,38
"법인사업자","여자","경기",9217,547,2002,3252,2445,810,161,12687,782,2725,4544,3291,1130,215,12882,759,2812,4551,3394,1156,210,12095,760,2633,4185,3100,1214,203,10129,666,2042,3455,2776,993,197
"법인사업자","여자","강원",744,42,125,262,218,85,12,990,50,177,331,306,113,13,922,61,173,313,241,113,21,1042,62,195,332,312,123,18,820,60,140,281,207,110,22
"법인사업자","여자","대전",859,53,169,303,235,86,13,1092,75,202,370,327,104,14,1025,61,209,380,271,92,12,911,54,169,327,245,95,21,711,60,130,252,179,79,11
"법인사업자","여자","충북",873,43,149,315,272,78,16,1056,69,175,384,294,112,22,1086,62,182,362,326,127,27,976,56,162,322,309,111,16,833,56,134,255,260,111,17
"법인사업자","여자","충남",1203,83,222,406,344,124,24,1487,99,247,537,442,137,25,1545,84,300,490,464,174,33,1416,92,268,459,409,155,33,1297,96,205,367,422,176,31
"법인사업자","여자","세종",284,7,58,93,89,31,6,363,18,74,137,95,37,2,396,23,62,161,104,38,8,318,19,54,108,93,36,8,269,8,45,121,64,25,6
"법인사업자","여자","광주",1100,86,207,407,289,92,19,1153,83,226,418,295,110,21,1242,117,205,404,387,102,27,1032,83,187,343,304,97,18,920,64,164,300,288,87,17
"법인사업자","여자","전북",1097,77,200,340,334,116,30,1234,82,208,446,345,127,26,1245,99,225,383,372,145,21,1137,75,194,363,362,124,19,1057,66,146,334,329,154,28
"법인사업자","여자","전남",1234,58,183,472,372,126,23,1272,79,182,479,390,123,19,1194,70,213,391,344,153,23,1176,77,187,377,363,153,19,1127,78,148,327,398,153,23
"법인사업자","여자","대구",1092,41,218,413,289,111,20,1280,62,221,484,360,128,25,1270,84,245,420,365,137,19,1011,57,175,356,297,108,18,922,46,200,298,241,120,17
"법인사업자","여자","경북",1179,74,222,418,329,117,19,1385,83,272,479,387,136,28,1439,90,259,480,426,159,25,1268,81,235,430,359,138,25,1308,85,223,424,385,169,22
"법인사업자","여자","부산",1674,95,327,575,468,181,28,2112,105,403,731,589,235,49,2477,92,504,915,663,254,49,2022,108,403,734,507,227,43,1678,101,318,557,465,191,46
"법인사업자","여자","울산",406,22,75,138,132,38,1,538,34,95,188,155,58,8,615,33,121,204,173,76,8,555,25,104,179,170,67,10,461,30,66,151,149,57,8
"법인사업자","여자","경남",1380,63,241,477,423,152,24,1534,81,280,559,448,148,18,1735,115,295,577,522,203,23,1644,99,301,529,481,204,30,1329,96,205,416,396,198,18
"법인사업자","여자","제주",514,25,103,194,140,36,16,578,33,98,245,135,56,11,675,34,132,258,168,70,13,619,24,121,240,164,56,14,524,28,98,195,134,48,21
"일반사업자","합계","합계",659999,63852,148408,193851,168496,68997,16395,687425,71300,149685,196223,175538,77423,17256,778890,79776,168649,226288,196483,89494,18200,697438,74113,157008,201064,169872,79054,16327,626752,69053,146787,173526,147536,73505,16345
"일반사업자","남자","합계",387898,40379,92983,112257,91630,40208,10441,401140,45201,94020,112508,94418,44297,10696,446906,49517,103218,126719,105023,51349,11080,411115,46718,98342,116747,92876,46264,10168,379113,44200,93725,103428,83247,43968,10545
"일반사업자","남자","서울",72192,8415,20432,19984,14875,6622,1864,75144,9661,20972,19984,15227,7311,1989,79151,10008,21674,21321,16285,7922,1941,71203,9182,20521,19142,13934,6699,1725,65191,8510,19498,17194,12482,5985,1522
"일반사업자","남자","인천",24453,2679,5891,6949,5849,2484,601,27019,3149,6406,7611,6192,2983,678,33078,3746,7975,9595,7485,3533,744,27797,3116,7273,8275,5835,2836,462,24535,2977,6934,6851,4881,2446,446
"일반사업자","남자","경기",115070,11656,27014,34118,28100,11446,2736,124534,13599,28844,35916,29909,13281,2985,150390,15885,34156,44191,36240,16500,3418,133965,14982,31719,39078,31128,14128,2930,118681,13947,30391,33503,25950,12333,2557
"일반사업자","남자","강원",10413,935,2084,2911,2702,1346,435,11069,1045,2109,3151,2888,1493,383,11363,1079,2110,3104,3082,1657,331,11422,1127,2189,3152,2933,1637,384,10568,1094,2111,2649,2729,1617,368
"일반사업자","남자","대전",9455,1141,2472,2804,2060,847,131,9729,1224,2390,2773,2265,915,162,10570,1362,2624,3070,2292,1060,162,9955,1412,2568,2818,2099,910,148,9483,1289,2404,2711,1992,966,121
"일반사업자","남자","충북",11722,1088,2414,3210,2988,1512,510,11061,1131,2284,3073,2912,1355,306,12590,1292,2513,3354,3299,1793,339,12208,1258,2427,3319,3188,1679,337,11692,1252,2468,2890,2875,1838,369
